"HDI Rank","Country","2007-2017",""
"Population living below income poverty line, PPP $1.90 a day (%)
SDG 1.1 By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day
Dimension: Poverty
Definition: Percentage of the population living below the international poverty line of $1.90 (in purchasing power parity terms [PPP] ) a day.
Source: World Bank (2019a). World Development Indicators database. Washington, DC. Http://data.worldbank.org. Accessed 21 June 2019."
"69"," Albania","1.1","a"
"82"," Algeria","0.5","a"
"149"," Angola","30.1","a"
"48"," Argentina","0.4","a"
"81"," Armenia","1.4","a"
"6"," Australia","0.7","a"
"20"," Austria","0.7","a"
"135"," Bangladesh","14.8","a"
"50"," Belarus","0.0","a"
"17"," Belgium","0.0","a"
"163"," Benin","49.5","a"
"134"," Bhutan","1.5","a"
"114"," Bolivia (Plurinational State of)","5.8","a"
"75"," Bosnia and Herzegovina","0.1","a"
"94"," Botswana","16.1","a"
"79"," Brazil","4.8","a"
"52"," Bulgaria","1.5","a"
"182"," Burkina Faso","43.7","a"
"185"," Burundi","71.8","a"
"126"," Cabo Verde","8.1","a"
"150"," Cameroon","23.8","a"
"13"," Canada","0.5","a"
"188"," Central African Republic","66.3","a"
"187"," Chad","38.4","a"
"42"," Chile","0.7","a"
"85"," China","0.7","a"
"79"," Colombia","3.9","a"
"156"," Comoros","17.9","a"
"138"," Congo","37.0","a"
"179"," Congo (Democratic Republic of the)","76.6","a"
"68"," Costa Rica","1.0","a"
"46"," Croatia","0.7","a"
"31"," Cyprus","0.0","a"
"26"," Czechia","0.0","a"
"165"," Côte d'Ivoire","28.2","a"
"11"," Denmark","0.2","a"
"171"," Djibouti","17.1","a"
"89"," Dominican Republic","1.6","a"
"85"," Ecuador","3.2","a"
"116"," Egypt","1.3","a"
"124"," El Salvador","1.9","a"
"30"," Estonia","0.5","a"
"138"," Eswatini (Kingdom of)","42.0","a"
"173"," Ethiopia","27.3","a"
"98"," Fiji","1.4","a"
"12"," Finland","0.0","a"
"26"," France","0.0","a"
"115"," Gabon","3.4","a"
"174"," Gambia","10.1","a"
"70"," Georgia","5.0","a"
"4"," Germany","0.0","a"
"142"," Ghana","13.3","a"
"32"," Greece","1.5","a"
"126"," Guatemala","8.7","a"
"174"," Guinea","35.3","a"
"178"," Guinea-Bissau","67.1","a"
"169"," Haiti","25.0","a"
"132"," Honduras","17.2","a"
"43"," Hungary","0.5","a"
"6"," Iceland","0.0","a"
"129"," India","21.2","a"
"111"," Indonesia","5.7","a"
"65"," Iran (Islamic Republic of)","0.3","a"
"120"," Iraq","2.5","a"
"3"," Ireland","0.2","a"
"22"," Israel","0.2","a"
"29"," Italy","2.0","a"
"19"," Japan","0.2","a"
"102"," Jordan","0.1","a"
"50"," Kazakhstan","0.0","a"
"147"," Kenya","36.8","a"
"22"," Korea (Republic of)","0.2","a"
"122"," Kyrgyzstan","1.5","a"
"140"," Lao People's Democratic Republic","22.7","a"
"39"," Latvia","0.7","a"
"93"," Lebanon","0.0","a"
"164"," Lesotho","59.7","a"
"176"," Liberia","40.9","a"
"34"," Lithuania","0.7","a"
"21"," Luxembourg","0.2","a"
"162"," Madagascar","77.6","a"
"172"," Malawi","70.3","a"
"61"," Malaysia","0.0","a"
"104"," Maldives","7.3","a"
"184"," Mali","49.7","a"
"28"," Malta","0.0","a"
"161"," Mauritania","6.0","a"
"66"," Mauritius","0.5","a"
"76"," Mexico","2.5","a"
"135"," Micronesia (Federated States of)","15.4","a"
"107"," Moldova (Republic of)","0.1","a"
"92"," Mongolia","0.6","a"
"52"," Montenegro","0.0","a"
"121"," Morocco","1.0","a"
"180"," Mozambique","62.4","a"
"145"," Myanmar","6.2","a"
"130"," Namibia","13.4","a"
"147"," Nepal","15.0","a"
"10"," Netherlands","0.0","a"
"126"," Nicaragua","3.2","a"
"189"," Niger","44.5","a"
"158"," Nigeria","53.5","a"
"82"," North Macedonia","5.2","a"
"1"," Norway","0.2","a"
"152"," Pakistan","3.9","a"
"119"," Palestine, State of","1.0","a"
"67"," Panama","2.5","a"
"155"," Papua New Guinea","38.0","a"
"98"," Paraguay","1.2","a"
"82"," Peru","3.4","a"
"106"," Philippines","7.8","a"
"32"," Poland","0.0","a"
"40"," Portugal","0.5","a"
"52"," Romania","5.7","a"
"49"," Russian Federation","0.0","a"
"157"," Rwanda","55.5","a"
"89"," Saint Lucia","4.7","a"
"111"," Samoa","1.1","a"
"137"," Sao Tome and Principe","32.3","a"
"166"," Senegal","38.0","a"
"63"," Serbia","0.1","a"
"62"," Seychelles","1.1","a"
"181"," Sierra Leone","52.2","a"
"36"," Slovakia","0.7","a"
"24"," Slovenia","0.0","a"
"153"," Solomon Islands","25.1","a"
"113"," South Africa","18.9","a"
